Journal,USD,USD cleaned
International Studies Review,3675,3675
Journal of Global Security Studies,3675,3675
Transactions of The Royal Society of Tropical Medicine and Hygiene,3677,3677
Journal of Antimicrobial Chemotherapy,3696,3696
Music Theory Spectrum,3696,3696
The Library,3696,3696
Journal of Animal Science,3700,3700
Social History of Medicine,3703,3703
Chemical Senses,3708,3708
European Journal of International Law,3708,3708
French History,3708,3708
French Studies,3708,3708
Glycobiology,3708,3708
ICES Journal of Marine Science,3708,3708
Integrative and Comparative Biology,3708,3708
Interacting with Computers,3708,3708
International Journal of Constitutional Law,3708,3708
Journal of Molluscan Studies,3708,3708
Screen,3708,3708
The Computer Journal,3708,3708
Science and Public Policy,3716,3716
American Entomologist,3717,3717
Annals of the Entomological Society of America,3717,3717
Environmental Entomology,3717,3717
Insect Systematics and Diversity,3717,3717
Journal of Economic Entomology,3717,3717
Journal of Medical Entomology,3717,3717
Journal of the History of Collections,3720,3720
Oxford Art Journal,3720,3720
Forestry: An International Journal of Forest Research,3724,3724
Journal of Petrology,3740,3740
Clinical Chemistry,3745,3745
The Journal of Applied Laboratory Medicine,3745,3745
Journal of the History of Medicine and Allied Sciences,3748,3748
The Journal of Deaf Studies and Deaf Education,3748,3748
Japanese Journal of Clinical Oncology,3760,3760
Forest Science,3766,3766
Journal of Forestry,3766,3766
FEMS Microbiology Letters,3778,3778
Tree Physiology,3781,3781
International Journal of Refugee Law,3808,3808
Annals of Behavioral Medicine,3809,3809
Community Development Journal,3812,3812
Annals of Botany,3813,3813
American Journal of Health-System Pharmacy,3820,3820
Aristotelian Society Supplementary Volume,3820,3820
Nephrology Dialysis Transplantation,3820,3820
Proceedings of the Aristotelian Society,3820,3820
SLEEP,3824,3824
European Heart Journal - Cardiovascular Pharmacotherapy,3830,3830
American Journal of Epidemiology,3833,3833
Journal of Pediatric Psychology,3833,3833
Occupational Medicine,3834,3834
American Journal of Legal History,3894,3894
Briefings in Bioinformatics,3894,3894
Briefings in Functional Genomics,3894,3894
British Yearbook of International Law,3894,3894
Capital Markets Law Journal,3894,3894
Current Legal Problems,3894,3894
Health Education Research,3894,3894
History Workshop Journal,3894,3894
Industrial Law Journal,3894,3894
International Journal for Quality in Health Care,3894,3894
International Journal of Law and Information Technology,3894,3894
Jerusalem Review of Legal Studies,3894,3894
Journal of Antitrust Enforcement,3894,3894
Journal of Competition Law & Economics,3894,3894
Journal of Complex Networks,3894,3894
Journal of Financial Regulation,3894,3894
Journal of Human Rights Practice,3894,3894
Journal of International Dispute Settlement,3894,3894
Journal of Logic and Computation,3894,3894
Journal of Plankton Research,3894,3894
Journal of Refugee Studies,3894,3894
"Law, Probability and Risk",3894,3894
Logic Journal of the IGPL,3894,3894
Oxford Journal of Law and Religion,3894,3894
Oxford Journal of Legal Studies,3894,3894
Philosophia Mathematica,3894,3894
Policing: A Journal of Policy and Practice,3894,3894
Radiation Protection Dosimetry,3894,3894
Refugee Survey Quarterly,3894,3894
The American Journal of Jurisprudence,3894,3894
The English Historical Review,3894,3894
The Journal of World Energy Law & Business,3894,3894
Trusts & Trustees,3894,3894
Twentieth Century British History,3894,3894
Uniform Law Review,3894,3894
Yearbook of European Law,3894,3894
Human Rights Law Review,3895,3895
International Journal of Transitional Justice,3895,3895
International Mathematics Research Notices,3895,3895
The Quarterly Journal of Mathematics,3895,3895
"International Journal of Law, Policy and the Family",3896,3896
Journal of Conflict and Security Law,3896,3896
Journal of Environmental Law,3896,3896
Journal of International Criminal Justice,3896,3896
Journal of International Economic Law,3896,3896
London Review of International Law,3896,3896
Medical Law Review,3896,3896
Statute Law Review,3896,3896
Yearbook of International Environmental Law,3896,3896
The British Journal for the Philosophy of Science,3916,3916
Human Molecular Genetics,3922,3922
Public Policy & Aging Report,3938,3938
The Econometrics Journal,3938,3938
The Economic Journal,3938,3938
The Gerontologist,3938,3938
The Journals of Gerontology: Series A,3938,3938
The Journals of Gerontology: Series B,3938,3938
Annals of Work Exposures and Health,3949,3949
American Literary History,3955,3955
Biology of Reproduction,3955,3955
Early Music,3955,3955
Journal of Islamic Studies,3955,3955
Journal of Travel Medicine,3955,3955
The Journal of Theological Studies,3955,3955
The Musical Quarterly,3955,3955
The Opera Quarterly,3955,3955
The Philosophical Quarterly,3955,3955
Past & Present,3968,3968
European Review of Economic History,3989,3989
"Protein Engineering, Design and Selection",3999,3999
Genetics,4000,4000
German History,4002,4002
Toxicological Sciences,4013,4013
FEMS Yeast Research,4030,4030
Journal of the Pediatric Infectious Diseases Society,4043,4043
Clinical Infectious Diseases,4052,4052
The Journal of Infectious Diseases,4052,4052
Music and Letters,4066,4066
"Social Politics: International Studies in Gender, State & Society",4066,4066
Mutagenesis,4075,4075
Military Medicine,4079,4079
Migration Studies,4096,4096
Plant Cell,4100,4100
Journal of Design History,4120,4120
American Journal of Hypertension,4136,4136
Archives of Clinical Neuropsychology,4143,4143
Journal of Analytical Toxicology,4143,4143
Journal of Chromatographic Science,4143,4143
Carcinogenesis,4153,4153
Health Promotion International,4153,4153
Journal of Financial Econometrics,4167,4167
Laboratory Medicine,4173,4173
Medical Mycology,4200,4200
Age and Ageing,4202,4202
British Medical Bulletin,4202,4202
Human Reproduction,4202,4202
Human Reproduction Update,4202,4202
Industrial and Corporate Change,4202,4202
Journal of Crohn's and Colitis,4202,4202
Molecular human reproduction,4202,4202
Rheumatology,4225,4225
Journal of Economic Geography,4227,4227
FEMS Microbiology Ecology,4232,4232
The British Journal of Social Work,4237,4237
Journal of the American Medical Informatics Association,4259,4259
African Affairs,4261,4261
Parliamentary Affairs,4263,4263
Neurosurgery,4269,4269
Operative Neurosurgery,4269,4269
Arbitration International,4280,4280
Essays in Criticism,4280,4280
European Heart Journal - Quality of Care and Clinical Outcomes,4280,4280
FEMS Microbiology Reviews,4280,4280
ICSID Review - Foreign Investment Law Journal,4280,4280
Nutrition Reviews,4280,4280
Paediatrics & Child Health,4280,4280
QJM: An International Journal of Medicine,4280,4280
Schizophrenia Bulletin,4280,4280
The Review of English Studies,4280,4280
American Journal of Clinical Pathology,4290,4290
European Sociological Review,4292,4292
British Journal of Surgery,4300,4300
Journal of Neuropathology & Experimental Neurology,4326,4326
Neuro-Oncology,4326,4326
Neuro-Oncology Practice,4326,4326
Pain Medicine,4326,4326
Journal of the European Economic Association,4384,4384
Alcohol and Alcoholism,4413,4413
Cambridge Journal of Economics,4413,4413
Contributions to Political Economy,4413,4413
European Journal of Orthodontics,4413,4413
Family Practice,4413,4413
International Data Privacy Law,4413,4413
International Journal of Epidemiology,4413,4413
International Journal of Lexicography,4413,4413
Journal of European Competition Law & Practice,4413,4413
Journal of Intellectual Property Law & Practice,4413,4413
Journal of Semantics,4413,4413
BioScience,4414,4414
Brain,4510,4510
Cerebral Cortex,4522,4522
Journal of African Economies,4548,4548
European Heart Journal - Cardiovascular Imaging,4549,4549
Cardiovascular Research,4592,4592
EP Europace,4592,4592
European Heart Journal,4592,4592
Nicotine and Tobacco Research,4635,4635
International Affairs,4661,4661
Applied Linguistics,4708,4708
ELT Journal,4708,4708
Review of Finance,4708,4708
JNCI: Journal of the National Cancer Institute,4738,4738
Aesthetic Surgery Journal,4765,4765
European Review of Agricultural Economics,4815,4815
Oxford Review of Economic Policy,4922,4922
Oxford Economic Papers,5083,5083
The British Journal of Criminology,5120,5120
The American Journal of Clinical Nutrition,5350,5350
The Journal of Nutrition,5350,5350
Advances in Nutrition,5500,5500
The Quarterly Journal of Economics,6420,6420
The Review of Economic Studies,6420,6420
Economic Policy,6634,6634
Materials Today: Proceedings,150,150
Chemical Data Collections,600,600
Journal of Rare Earths,630,630
Visual Journal of Emergency Medicine,750,750
Alter,"1,000",1000
Journal of the Indian Chemical Society,"1,000",1000
World Journal of Acupuncture - Moxibustion,"1,000",1000
Economic Systems,"1,100",1100
Journal of Anesthesia History,"1,100",1100
Journal of Retailing,"1,100",1100
Nutrition Clinique et Métabolisme,"1,160",1160
Pratiques Psychologiques,"1,160",1160
Psychologie du Travail et des Organisations,"1,160",1160
International Journal of Forecasting,"1,200",1200
Journal of Policy Modeling,"1,200",1200
Econometrics and Statistics,"1,280",1280
Applied Numerical Mathematics,"1,300",1300
Historia Mathematica,"1,300",1300
Indagationes Mathematicae,"1,300",1300
Manufacturing Letters,"1,350",1350
Microelectronic Engineering,"1,380",1380
Hipertensión y Riesgo Vascular,"1,400",1400
Néphrologie & Thérapeutique,"1,400",1400
Renewable Energy Focus,"1,400",1400
Sexologies,"1,400",1400
eTransportation,"1,450",1450
Mathematics and Computers in Simulation,"1,450",1450
Chinese Journal of Chemical Engineering,"1,500",1500
Groundwater for Sustainable Development,"1,500",1500
Internet of Things,"1,500",1500
Journal de Mathématiques Pures et Appliquées,"1,500",1500
Journal of Behavioral and Cognitive Therapy,"1,500",1500
Journal of Cardiology Cases,"1,500",1500
Materialia,"1,500",1500
Médecine Nucléaire,"1,500",1500
Online Social Networks and Media,"1,500",1500
Rangelands,"1,500",1500
Smart Health,"1,500",1500
Ultrasound in Medicine & Biology,"1,500",1500
Value in Health Regional Issues,"1,500",1500
European Management Journal,"1,540",1540
Orbis,"1,540",1540
Psiquiatría Biológica,"1,600",1600
Women's Studies International Forum,"1,600",1600
"Droit, déontologie & soin","1,620",1620
Éthique & Santé,"1,620",1620
Pratique neurologique - FMC,"1,620",1620
Archives des Maladies Professionnelles et de L'Environnement,"1,650",1650
International Journal of Disaster Risk Reduction,"1,660",1660
Advances in Medical Sciences,"1,700",1700
Australasian Emergency Care,"1,700",1700
Australian Critical Care,"1,700",1700
Enfermería Intensiva,"1,700",1700
European Journal of Integrative Medicine,"1,700",1700
"Infection, Disease & Health","1,700",1700
Teaching and Teacher Education,"1,730",1730
Anesthésie & Réanimation,"1,740",1740
Archives de Pédiatrie,"1,740",1740
Archives des Maladies du Coeur et des Vaisseaux - Pratique,"1,740",1740
Bulletin du Cancer,"1,740",1740
Cahiers de Nutrition et de Diététique,"1,740",1740
Clínica e Investigación en Arteriosclerosis,"1,740",1740
Clínica e Investigación en Arteriosclerosis (English Edition),"1,740",1740
"Endocrinología, Diabetes y Nutrición","1,740",1740
Enfermería Clínica (English Edition),"1,740",1740
European Journal of Trauma & Dissociation,"1,740",1740
In Analysis,"1,740",1740
International Orthodontics,"1,740",1740
"Kinésithérapie, La Revue","1,740",1740
L'Évolution Psychiatrique,"1,740",1740
La Revue de Médecine Légale,"1,740",1740
Medicina Intensiva (English Edition),"1,740",1740
Neuropsychiatrie de l'Enfance et de l'Adolescence,"1,740",1740
Progrès en Urologie,"1,740",1740
Revue du Rhumatisme,"1,740",1740
Revue Française d'Allergologie,"1,740",1740
Science & Sports,"1,740",1740
Toxicologie Analytique et Clinique,"1,740",1740
Transfusion Clinique et Biologique,"1,740",1740
Vacunas (English Edition),"1,740",1740
Information Processing Letters,"1,750",1750
Stochastic Processes and their Applications,"1,760",1760
American Journal of Obstetrics & Gynecology MFM,"1,800",1800
Brazilian Journal of Physical Therapy,"1,800",1800
Case Studies on Transport Policy,"1,800",1800
Economic Analysis and Policy,"1,800",1800
Economic Modelling,"1,800",1800
Fungal Biology,"1,800",1800
Indian Journal of Medical Microbiology,"1,800",1800
International Journal of Paleopathology,"1,800",1800
Journal of Archaeological Science: Reports,"1,800",1800
Journal of Integrative Medicine,"1,800",1800
Journal of Interactive Marketing,"1,800",1800
Vacunas,"1,800",1800
Journal of Functional Analysis,"1,850",1850
Medical Hypotheses,"1,850",1850
Bulletin des Sciences Mathématiques,"1,860",1860
Cities,"1,870",1870
Government Information Quarterly,"1,870",1870
International Journal of Educational Research,"1,870",1870
International Journal of Information Management,"1,870",1870
Political Geography,"1,870",1870
Resources Policy,"1,870",1870
Technological Forecasting and Social Change,"1,870",1870
Asian Journal of Social Science,"1,880",1880
Annales Médico-psychologiques,"1,900",1900
EnergyChem,"1,900",1900
Fuss & Sprunggelenk,"1,900",1900
Journal of High Energy Astrophysics,"1,900",1900
"Journal of International Financial Markets, Institutions & Money","1,900",1900
Journal of Symbolic Computation,"1,900",1900
Revista Internacional de Acupuntura,"1,900",1900
"Sustainable Energy, Grids and Networks","1,900",1900
World Patent Information,"1,900",1900
Anaesthesia Critical Care & Pain Medicine,"1,910",1910
Optical Fiber Technology,"1,910",1910
Annales de Pathologie,"1,930",1930
Global Finance Journal,"1,930",1930
Journal of Systems Architecture,"1,930",1930
La Revue d'Homéopathie,"1,930",1930
Revue d'Epidémiologie et de Santé Publique,"1,930",1930
Economics of Transportation,"1,940",1940
The Quarterly Review of Economics and Finance,"1,940",1940
Chinese Astronomy and Astrophysics,"1,950",1950
Computational Condensed Matter,"1,950",1950
Economics of Education Review,"1,950",1950
Microbes and Infection,"1,950",1950
Nuclear Physics A,"1,950",1950
Research in Microbiology,"1,950",1950
"Revista de Logopedia, Foniatría y Audiología","1,950",1950
IRBM,"1,970",1970
Journal of Empirical Finance,"1,970",1970
Journal of Visual Communication and Image Representation,"1,970",1970
Journal of Herbal Medicine,"1,980",1980
Nano Communication Networks,"1,980",1980
New Astronomy,"1,980",1980
Pacific-Basin Finance Journal,"1,980",1980
Remote Sensing Applications: Society and Environment,"1,980",1980
Russian Literature,"1,980",1980
Acta Colombiana de Cuidado Intensivo,"2,000",2000
Annales françaises d'oto-rhino-laryngologie et de pathologie cervico-faciale,"2,000",2000
Atmospheric Environment,"2,000",2000
Chinese Journal of Physics,"2,000",2000
Clinical Simulation in Nursing,"2,000",2000
Clinics and Research in Hepatology and Gastroenterology,"2,000",2000
Cold Regions Science and Technology,"2,000",2000
Collegian,"2,000",2000
Composites Communications,"2,000",2000
Diagnostic and Interventional Imaging,"2,000",2000
Economics Letters,"2,000",2000
Food Webs,"2,000",2000
Imagerie de la Femme,"2,000",2000
Journal d'imagerie diagnostique et interventionnelle,"2,000",2000
Journal of Behavioral and Experimental Economics,"2,000",2000
Journal of Contextual Behavioral Science,"2,000",2000
Journal of Industrial Information Integration,"2,000",2000
Journal of Multinational Financial Management,"2,000",2000
Materials Today Communications,"2,000",2000
Medicina Intensiva,"2,000",2000
Médecine des Maladies Métaboliques,"2,000",2000
Médecine & Droit,"2,000",2000
NanoImpact,"2,000",2000
Physica Medica,"2,000",2000
Reproductive Biology,"2,000",2000
Revista de Psiquiatría y Salud Mental,"2,000",2000
Science of Computer Programming,"2,000",2000
Sports Orthopaedics and Traumatology,"2,000",2000
Techniques and Innovations in Gastrointestinal Endoscopy,"2,000",2000
The European Journal of Psychiatry,"2,000",2000
Therapies,"2,000",2000
Astronomy and Computing,"2,020",2020
Gastroenterología y Hepatología (English Edition),"2,020",2020
Sages-Femmes,"2,020",2020
Medicina Clínica (English Edition),"2,020",2020
Speech Communication,"2,030",2030
Biomedical Signal Processing and Control,"2,040",2040
Computer Communications,"2,050",2050
Journal of Public Economics,"2,050",2050
The North American Journal of Economics and Finance,"2,050",2050
Operative Techniques in Sports Medicine,"2,050",2050
Journal of Aerosol Science,"2,060",2060
Optical Switching and Networking,"2,070",2070
Acta Otorrinolaringologica (English Edition),"2,090",2090
Advances in Applied Mathematics,"2,090",2090
Computers in Biology and Medicine,"2,090",2090
Ecohydrology & Hydrobiology,"2,090",2090
Journal of Luminescence,"2,090",2090
Landscape and Urban Planning,"2,090",2090
Reumatología clínica (English edition),"2,090",2090
BioSystems,"2,100",2100
International Review of Economics & Finance,"2,100",2100
Journal of Business Venturing Insights,"2,100",2100
"Journal of Combinatorial Theory, Series A","2,100",2100
Journal of Complexity,"2,100",2100
The Journal of High Technology Management Research,"2,100",2100
Journal of Statistical Planning and Inference,"2,100",2100
Le Pharmacien Hospitalier et Clinicien,"2,100",2100
Pedobiologia,"2,100",2100
Research in Transportation Economics,"2,100",2100
Digital Signal Processing,"2,110",2110
JMV - Journal de Médecine Vasculaire,"2,110",2110
Physical Communication,"2,110",2110
Technology in Society,"2,110",2110
"Zeitschrift für Evidenz, Fortbildung und Qualität im Gesundheitswesen","2,110",2110
Journal Français D'Ophtalmologie,"2,120",2120
Linguistics and Education,"2,120",2120
Studies in Educational Evaluation,"2,120",2120
Discrete Optimization,"2,130",2130
Computational Geometry,"2,140",2140
Mechatronics,"2,140",2140
Colloid and Interface Science Communications,"2,150",2150
Expositiones Mathematicae,"2,150",2150
Integration,"2,150",2150
Journal Européen des Urgences et de Réanimation,"2,150",2150
Journal of Air Transport Management,"2,150",2150
Journal of The Franklin Institute,"2,150",2150
Sustainable Computing: Informatics and Systems,"2,150",2150
Children and Youth Services Review,"2,160",2160
Journal of Asian Economics,"2,160",2160
Computational Statistics & Data Analysis,"2,170",2170
EXPLORE,"2,170",2170
Animal Gene,"2,180",2180
Optik,"2,190",2190
"Chaos, Solitons & Fractals","2,200",2200
Clinical Microbiology Newsletter,"2,200",2200
Current Applied Physics,"2,200",2200
Finance Research Letters,"2,200",2200
Finite Fields and Their Applications,"2,200",2200
International Journal for Parasitology,"2,200",2200
Journal of Commodity Markets,"2,200",2200
Journal of Economic Psychology,"2,200",2200
Journal of Energy Storage,"2,200",2200
Journal of Non-Crystalline Solids,"2,200",2200
Life Sciences in Space Research,"2,200",2200
Materials Chemistry and Physics,"2,200",2200
Microprocessors and Microsystems,"2,200",2200
New Astronomy Reviews,"2,200",2200
Optical Materials,"2,200",2200
Pattern Recognition Letters,"2,200",2200
Physica B: Condensed Matter,"2,200",2200
Research in Economics,"2,200",2200
Journal of Space Safety Engineering,"2,200",2200
Topics in Companion Animal Medicine,"2,200",2200
Women and Birth,"2,200",2200
Currents in Pharmacy Teaching and Learning,"2,210",2210
Ecological Informatics,"2,210",2210
Médecine du Sommeil,"2,210",2210
World Development Perspectives,"2,210",2210
Journal of Mathematical Analysis and Applications,"2,220",2220
Journal of Research in Personality,"2,220",2220
Theoretical Computer Science,"2,220",2220
Archaeological Research in Asia,"2,230",2230
Journal of Behavioral and Experimental Finance,"2,230",2230
Operative Techniques in Orthopaedics,"2,230",2230
Electronic Commerce Research and Applications,"2,250",2250
Journal of Electrostatics,"2,250",2250
Journal of Mathematical Economics,"2,250",2250
Journal of Number Theory,"2,250",2250
Optics Communications,"2,250",2250
Pervasive and Mobile Computing,"2,250",2250
"Physics and Chemistry of the Earth, Parts A/B/C","2,250",2250
Travel Medicine and Infectious Disease,"2,250",2250
L'Encéphale,"2,260",2260
Mathematical Social Sciences,"2,260",2260
Signal Processing: Image Communication,"2,260",2260
Asian Journal of Psychiatry,"2,270",2270
Journal de Traumatologie du Sport,"2,270",2270
Journal of Economics and Business,"2,270",2270
Morphologie,"2,270",2270
Small Ruminant Research,"2,270",2270
Systems & Control Letters,"2,270",2270
Flora,"2,280",2280
International Journal of Critical Infrastructure Protection,"2,280",2280
Journal of Economic Theory,"2,280",2280
Physica A: Statistical Mechanics and its Applications,"2,280",2280
Veterinary Parasitology: Regional Studies and Reports,"2,280",2280
Annales de Dermatologie et de Vénéréologie,"2,290",2290
Biocybernetics and Biomedical Engineering,"2,290",2290
Physica C: Superconductivity and its Applications,"2,290",2290
Acta Otorrinolaringologica Española,"2,300",2300
Advances in Integrative Medicine,"2,300",2300
Atmospheric Pollution Research,"2,300",2300
Cirugía Española,"2,300",2300
Computer Networks,"2,300",2300
Computer Vision and Image Understanding,"2,300",2300
Ecological Genetics and Genomics,"2,300",2300
International Journal of Approximate Reasoning,"2,300",2300
Journal of Economic Behavior & Organization,"2,300",2300
Journal of Interprofessional Education & Practice,"2,300",2300
Journal of Macroeconomics,"2,300",2300
Microelectronics Journal,"2,300",2300
Nonlinear Analysis,"2,300",2300
Obesity Medicine,"2,300",2300
Reumatología Clínica,"2,300",2300
Computational Toxicology,"2,310",2310
Differential Geometry and its Applications,"2,310",2310
Journal of Financial Markets,"2,310",2310
Journal of Rail Transport Planning & Management,"2,310",2310
"Journal of Stomatology, Oral and Maxillofacial Surgery","2,310",2310
Research in International Business and Finance,"2,310",2310
Resource and Energy Economics,"2,310",2310
Topology and its Applications,"2,310",2310
Cancer Radiotherapie,"2,320",2320
Image and Vision Computing,"2,320",2320
Mental Health and Physical Activity,"2,320",2320
Médecine Palliative,"2,320",2320
Performance Enhancement & Health,"2,320",2320
"Ethics, Medicine and Public Health","2,330",2330
Le Praticien en Anesthésie Réanimation,"2,330",2330
Nuclear Engineering and Design,"2,330",2330
Solid State Sciences,"2,330",2330
"Environmental Nanotechnology, Monitoring and Management","2,340",2340
FlatChem,"2,340",2340
International Journal of Research in Marketing,"2,340",2340
Surfaces and Interfaces,"2,340",2340
The Electricity Journal,"2,340",2340
Air Medical Journal,"2,350",2350
Clinical Pediatric Emergency Medicine,"2,350",2350
Control Engineering Practice,"2,350",2350
European Journal of Surgical Oncology,"2,350",2350
Experimental and Molecular Pathology,"2,350",2350
Journal de Chirurgie Viscérale,"2,350",2350
Operations Research for Health Care,"2,350",2350
Physics of the Dark Universe,"2,350",2350
Polar Science,"2,350",2350
The Foot,"2,350",2350
Journal of Economic Dynamics and Control,"2,360",2360
"Learning, Culture and Social Interaction","2,360",2360
Research in Transportation Business & Management,"2,360",2360
Enfermedades Infecciosas y Microbiología Clínica,"2,370",2370
Journal of Logical and Algebraic Methods in Programming,"2,370",2370
Optics & Laser Technology,"2,370",2370
Organizational Behavior and Human Decision Processes,"2,370",2370
Osteopathische Medizin,"2,370",2370
Ad Hoc Networks,"2,380",2380
Dendrochronologia,"2,380",2380
Journal for Nature Conservation,"2,380",2380
Journal of Tissue Viability,"2,380",2380
Microelectronics Reliability,"2,380",2380
Pathology - Research and Practice,"2,380",2380
Seminars in Colon and Rectal Surgery,"2,380",2380
Journal of Neurolinguistics,"2,390",2390
Journal of Physics and Chemistry of Solids,"2,390",2390
Advances in Life Course Research,"2,400",2400
Basic and Applied Ecology,"2,400",2400
Computerized Medical Imaging and Graphics,"2,400",2400
Diamond and Related Materials,"2,400",2400
Displays,"2,400",2400
Fusion Engineering and Design,"2,400",2400
Games and Economic Behavior,"2,400",2400
Information and Computation,"2,400",2400
International Journal of Electrical Power & Energy Systems,"2,400",2400
Journal of Computer and System Sciences,"2,400",2400
Journal of Transport Geography,"2,400",2400
Mathematical Biosciences,"2,400",2400
Mental Health & Prevention,"2,400",2400
Neurocomputing,"2,400",2400
The Joint Commission Journal on Quality and Patient Safety,"2,400",2400
"City, Culture and Society","2,410",2410
Genomics,"2,410",2410
Journal of Transport & Health,"2,410",2410
Solid-State Electronics,"2,410",2410
Dynamics of Atmospheres and Oceans,"2,420",2420
European Journal of Combinatorics,"2,420",2420
Piel,"2,420",2420
REACH,"2,420",2420
Computer Standards & Interfaces,"2,430",2430
